Date,Sentiment
2025-03-08,0.19307
2025-03-09,0.09965499999999997
2025-03-10,0.07956333333333329
2025-03-11,0.02945999999999997
2025-03-12,0.03841799999999998
2025-03-13,0.06339166666666665
2025-03-14,0.06671571428571425
2025-03-15,0.06864187499999999
2025-03-16,0.059701111111111094
2025-03-17,0.061919999999999975
2025-03-18,0.07000499999999997
2025-03-19,0.06417208333333328
2025-03-20,0.05670846153846149
2025-03-21,0.06618142857142854
2025-03-22,0.06675466666666666
2025-03-23,0.06590437499999999
2025-03-24,0.07934352941176469
2025-03-25,0.0661772222222222
2025-03-26,0.06704342105263159
2025-03-27,0.08001325000000001
2025-03-28,0.0859247619047619
2025-03-29,0.1007454545454545
2025-03-30,0.09861347826086952
2025-03-31,0.10147041666666662
2025-04-01,0.10721799999999995
2025-04-02,0.11264326923076916
2025-04-03,0.1131153703703703
2025-04-04,0.11660874999999994
2025-04-05,0.11869913793103438
2025-04-06,0.11964483333333321
2025-04-07,0.11798564516129023
2025-04-08,0.11650671874999989
