Date,Sentiment
2025-03-08,-0.14787
2025-03-09,-0.06882000000000002
2025-03-10,-0.04170500000000003
2025-03-11,-0.08221750000000003
2025-03-12,-0.117614
2025-03-13,-0.12661166666666665
2025-03-14,-0.08973642857142859
2025-03-15,-0.10060562500000003
2025-03-16,-0.10163444444444446
2025-03-17,-0.1014595
2025-03-18,-0.10818181818181817
2025-03-19,-0.11345166666666666
2025-03-20,-0.12521230769230768
2025-03-21,-0.1190385714285714
2025-03-22,-0.12217266666666665
2025-03-23,-0.12777500000000003
2025-03-24,-0.11829294117647061
2025-03-25,-0.12714027777777775
2025-03-26,-0.12335947368421048
2025-03-27,-0.11557849999999993
2025-03-28,-0.1210849999999999
2025-03-29,-0.11501249999999985
2025-03-30,-0.10312913043478247
2025-03-31,-0.09211291666666653
2025-04-01,-0.0781355999999999
2025-04-02,-0.07513384615384609
2025-04-03,-0.0712007407407407
2025-04-04,-0.06805642857142853
2025-04-05,-0.0666068965517241
2025-04-06,-0.07378999999999995
2025-04-07,-0.07204548387096771
2025-04-08,-0.07455249999999998
