Date,Sentiment
2025-03-08,-0.007600000000000004
2025-03-09,-0.04582000000000001
2025-03-10,-0.08224000000000001
2025-03-11,-0.11572
2025-03-12,-0.118128
2025-03-13,-0.10210500000000004
2025-03-14,-0.12785857142857146
2025-03-15,-0.12219125000000002
2025-03-16,-0.12622111111111112
2025-03-17,-0.1276045
2025-03-18,-0.14613045454545456
2025-03-19,-0.1455875
2025-03-20,-0.13918884615384614
2025-03-21,-0.1396057142857143
2025-03-22,-0.1349713333333334
2025-03-23,-0.13003187500000007
2025-03-24,-0.12364176470588245
2025-03-25,-0.11929277777777787
2025-03-26,-0.11763864864864874
2025-03-27,-0.11704410256410265
2025-03-28,-0.11758024390243911
2025-03-29,-0.12342558139534895
2025-03-30,-0.12383227272727283
2025-03-31,-0.125418695652174
2025-04-01,-0.1220691666666668
2025-04-02,-0.12524720000000011
2025-04-03,-0.11924826923076932
2025-04-04,-0.122643888888889
2025-04-05,-0.11609875000000004
2025-04-06,-0.10487706896551728
2025-04-07,-0.10810350000000002
2025-04-08,-0.11181241935483864
