Date,Sentiment
2025-03-08,-0.32065
2025-03-09,-0.24882499999999994
2025-03-10,-0.21303333333333327
2025-03-11,-0.16921999999999998
2025-03-12,-0.19926777777777765
2025-03-13,-0.19978999999999986
2025-03-14,-0.17011153846153826
2025-03-15,-0.17462799999999978
2025-03-16,-0.180091176470588
2025-03-17,-0.17463052631578926
2025-03-18,-0.18046449999999978
2025-03-19,-0.16790181818181799
2025-03-20,-0.16524458333333314
2025-03-21,-0.16829499999999983
2025-03-22,-0.176837857142857
2025-03-23,-0.17826333333333325
2025-03-24,-0.1702224999999999
2025-03-25,-0.1625723529411764
2025-03-26,-0.1632899999999999
2025-03-27,-0.16102605263157888
2025-03-28,-0.15467949999999991
2025-03-29,-0.15475404761904757
2025-03-30,-0.15528318181818176
2025-03-31,-0.15328130434782608
2025-04-01,-0.15053791666666663
2025-04-02,-0.1446598
2025-04-03,-0.14645557692307692
2025-04-04,-0.13889870370370372
2025-04-05,-0.14141839285714286
2025-04-06,-0.1374812068965518
2025-04-07,-0.14166216666666676
2025-04-08,-0.13537887096774204
