Date,Sentiment
2025-03-08,-0.13821999999999995
2025-03-09,-0.002659999999999986
2025-03-10,0.00349500000000001
2025-03-11,-0.020768749999999996
2025-03-12,-0.06952699999999999
2025-03-13,-0.041996666666666654
2025-03-14,-0.0338942857142857
2025-03-15,-0.016777499999999994
2025-03-16,-0.01265888888888888
2025-03-17,-0.009375499999999991
2025-03-18,0.006370909090909098
2025-03-19,0.0044775000000000075
2025-03-20,-0.004631538461538455
2025-03-21,0.0015435714285714345
2025-03-22,0.007995333333333339
2025-03-23,0.012462187500000006
2025-03-24,0.01975264705882354
2025-03-25,0.025340833333333337
2025-03-26,0.030350263157894745
2025-03-27,0.022341250000000007
2025-03-28,0.014595476190476195
2025-03-29,0.018966590909090916
2025-03-30,0.01366978260869566
2025-03-31,0.00860770833333334
2025-04-01,0.008665400000000007
2025-04-02,0.0037569230769230813
2025-04-03,-0.005338888888888884
2025-04-04,-0.012100357142857138
2025-04-05,-0.015272413793103441
2025-04-06,-0.014367499999999991
2025-04-07,-0.01534435483870967
2025-04-08,-0.005847031249999993
