Date,Sentiment
2025-03-08,0.28515
2025-03-09,0.22881
2025-03-10,0.21753999999999996
2025-03-11,0.21247249999999998
2025-03-12,0.17943800000000004
2025-03-13,0.13514000000000012
2025-03-14,0.13178357142857156
2025-03-15,0.13448000000000013
2025-03-16,0.12776500000000013
2025-03-17,0.12058250000000012
2025-03-18,0.1229586363636365
2025-03-19,0.10558791666666682
2025-03-20,0.097361153846154
2025-03-21,0.10115500000000015
2025-03-22,0.10029133333333347
2025-03-23,0.10329500000000014
2025-03-24,0.11192705882352949
2025-03-25,0.10740555555555563
2025-03-26,0.11164105263157896
2025-03-27,0.10654775
2025-03-28,0.11096857142857137
2025-03-29,0.11006090909090903
2025-03-30,0.10967456521739122
2025-03-31,0.1138585416666666
2025-04-01,0.11941979999999994
2025-04-02,0.11922826923076915
2025-04-03,0.11981574074074067
2025-04-04,0.12042839285714277
2025-04-05,0.11448982758620682
2025-04-06,0.10761483333333324
2025-04-07,0.10203403225806443
2025-04-08,0.09440203124999992
